X,,,Y,OBJECTID,NAME,LINES,ATCOCODE,MODES,ACCESSIBILITY,NIGHT_TUBE,NETWORK,DATASET_LAST_UPDATED,FULL_NAME
496079.3711,0.3711,0.0006,201633.0847,473,Chesham,Metropolitan,940GZZLUCSM,tube,Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Chesham station
496371.5781,292.5781,0.4871,198181.3279,438,Amersham,Metropolitan,940GZZLUAMS,tube,Partially Accessible,No,London Underground,2021/11/29 00:00:00+00,Amersham station
499633.5338,3554.5338,5.9176,197564.355,239,Chalfont & Latimer,Metropolitan,940GZZLUCAL,tube,Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Chalfont & Latimer station
502580.7743,6501.7743,10.8242,196094.9067,240,Chorleywood,Metropolitan,940GZZLUCYD,tube,Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Chorleywood station
505109.3841,9030.3841,15.0339,175923.8204,442,Heathrow Terminal 5,Piccadilly,940GZZLUHR5,tube,Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Heathrow Terminal 5 station
505661.0034,9582.0034,15.9522,184161.1754,318,Uxbridge,"Metropolitan, Piccadilly",940GZZLUUXB,"bus, tube",Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Uxbridge station
505715.6061,9636.6061,16.0431,194601.2017,474,Rickmansworth,Metropolitan,940GZZLURKW,tube,Partially Accessible,No,London Underground,2021/11/29 00:00:00+00,Rickmansworth station
507585.6702,11506.6702,19.1564,175839.6403,391,Heathrow Terminals 1-2-3,Piccadilly,940GZZLUHRC,tube,Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Heathrow Terminals 1-2-3 station
507602.2269,11523.2269,19.1840,185034.942299999,319,Hillingdon,"Metropolitan, Piccadilly",940GZZLUHGD,"bus, tube",Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Hillingdon station
507909.4599,11830.4599,19.6954,195402.8332,477,Croxley,Metropolitan,940GZZLUCXY,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Croxley station
508081.9464,12002.9464,19.9826,174430.162599999,315,Heathrow Terminal 4,Piccadilly,940GZZLUHR4,tube,Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Heathrow Terminal 4 station
508092.3561,12013.3561,19.9999,185937.6131,320,Ickenham,"Metropolitan, Piccadilly",940GZZLUICK,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Ickenham station
508378.6627,12299.6627,20.4766,186795.997400001,132,West Ruislip,Central,940GZZLUWRP,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,West Ruislip station
508606.4789,12527.4789,20.8558,193502.849199999,475,Moor Park,Metropolitan,940GZZLUMPK,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Moor Park station
509229.7103,13150.7103,21.8934,191418.7435,476,Northwood,Metropolitan,940GZZLUNOW,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Northwood station
509473.5706,13394.5706,22.2994,187004.4778,321,Ruislip,"Metropolitan, Piccadilly",940GZZLURSP,"bus, tube",Partially Accessible,No,London Underground,2021/11/29 00:00:00+00,Ruislip station
509569.47,13490.47,22.46,196595.9617,478,Watford,Metropolitan,940GZZLUWAF,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Watford station
509608.3222,13529.3222,22.5237,175362.561799999,298,Hatton Cross,Piccadilly,940GZZLUHNX,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Hatton Cross station
510159.7912,14080.7912,23.4418,187262.366699999,322,Ruislip Manor,"Metropolitan, Piccadilly",940GZZLURSM,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Ruislip Manor station
510266.398,14187.398,23.619,185851.599300001,129,Ruislip Gardens,Central,940GZZLURSG,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Ruislip Gardens station
510307.602,14228.602,23.688,190238.042400001,323,Northwood Hills,Metropolitan,940GZZLUNWH,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Northwood Hills station
511097.3834,15018.3834,25.0027,185434.104699999,130,South Ruislip,Central,940GZZLUSRP,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,South Ruislip station
511153.3473,15074.3473,25.0959,187621.8123,437,Eastcote,"Metropolitan, Piccadilly",940GZZLUEAE,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Eastcote station
512207.7403,16128.7403,26.8512,176196.9816,299,Hounslow West,Piccadilly,940GZZLUHWT,"bus, tube",Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Hounslow West station
512236.1384,16157.1384,26.8985,189460.7521,327,Pinner,Metropolitan,940GZZLUPNR,"tube, bus",Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Pinner station
512952.7879,16873.7879,28.0916,187515.078199999,325,Rayners Lane,"Metropolitan, Piccadilly",940GZZLURYL,"bus, tube",Partially Accessible - Interchange Only,No,London Underground,2021/11/29 00:00:00+00,Rayners Lane station
